date,Equity_equal_weight,Equity_min_variance,Equity_max_sharpe,Equity_risk_parity,Crypto_equal_weight,Crypto_min_variance,Crypto_max_sharpe,Crypto_risk_parity,Combined_equal_weight,Combined_min_variance,Combined_max_sharpe,Combined_risk_parity
2020-10-02,,,,,-0.021891144641811848,-0.009110719274304162,-0.03279451631094113,-0.02094287235788836,,,,
2020-10-03,,,,,0.004360856473343322,-0.0034722695174774845,0.002717982778323918,0.004253359881052944,,,,
2020-10-04,,,,,0.01790188760050092,0.03105400435337541,0.023395824964197773,0.01824699409761972,,,,
2020-10-05,,,,,0.003591528393123089,0.011993560762427254,0.007517691879511361,0.0037521199721199656,,,,
2020-10-06,,,,,-0.009626353837821833,-0.019141886173249467,-0.04197554462625751,-0.00927997743462369,,,,
2020-10-07,,,,,0.0024881630094607645,0.008718520301695006,0.006213213237979705,0.0024679441025821577,,,,
2020-10-08,,,,,0.015037245037404369,0.01880969910788882,0.025725900924237627,0.014651026774308042,,,,
2020-10-09,,,,,0.023432526373623766,0.011536030313313829,0.049807997503244286,0.022353987990464022,,,,
2020-10-10,,,,,0.01344768307528349,0.014216806954896882,0.021374232259037777,0.013371298994506573,,,,
2020-10-11,,,,,0.01185566818473901,0.006958373309070588,0.012591191526160804,0.011556160745017663,,,,
2020-10-12,,,,,0.011390327435422478,0.010419767335655715,0.03324275544276541,0.010864410635714406,,,,
2020-10-13,,,,,-0.004764471088864998,-0.007143227013381875,-0.014268388442916013,-0.00516940766962589,,,,
2020-10-14,,,,,-0.005807592202763257,-0.009959473523141487,-0.008640133156705001,-0.006216976018713566,,,,
2020-10-15,,,,,-0.0048135694737722725,-0.001745249046928393,-0.005716113905861523,-0.004825581243521302,,,,
2020-10-16,,,,,-0.018634310332511863,-0.017826381536963296,-0.027331845849147537,-0.017645928215610174,,,,
2020-10-17,,,,,0.004269494322044054,0.002742991108616842,0.012448665821171169,0.0043739728712954735,,,,
2020-10-18,,,,,0.007325791861006193,0.008886030790707898,0.019738255528941415,0.006784367866503082,,,,
2020-10-19,,,,,0.01499738070744435,0.01984168487602863,0.007714931623281936,0.015775122630445042,,,,
2020-10-20,,,,,-0.022213425468937426,0.0055427588509296116,-0.04050620028443714,-0.020828015439917247,,,,
2020-10-21,,,,,0.054879308116212576,0.05981431383638138,0.051238024844255346,0.05494829331541643,,,,
2020-10-22,,,,,0.02784915510130621,0.014703378272287418,0.04920173542048824,0.026846493024112867,,,,
2020-10-23,,,,,-0.007714060513975308,-0.00448892066649967,-0.015126800622165995,-0.0075934183065864405,,,,
2020-10-24,,,,,0.01576710172702136,0.010787597440739906,0.0037483551339841654,0.015969881350146924,,,,
2020-10-25,,,,,-0.008168543358127035,-0.008396379905529758,-0.01547791597627497,-0.00813884379780557,,,,
2020-10-26,,,,,-0.022532438611657046,-0.00466475658105487,-0.030455836222722812,-0.02164465952706638,,,,
2020-10-27,,,,,0.015420105915731465,0.03392531226197316,0.013660022806410481,0.016101368886991478,,,,
2020-10-28,,,,,-0.023111708865827422,-0.027957366694468536,-0.03775497865897407,-0.0232951192334152,,,,
2020-10-29,,,,,-0.008184334694409667,0.002302261117976192,-0.018285895209217133,-0.007544444265240919,,,,
2020-10-30,,,,,-0.018665028500040506,0.00016189747560145518,-0.014750667885660502,-0.018024406860036486,,,,
2020-10-31,,,,,0.008407130841797849,0.011641472881496636,0.004245997824008403,0.00874796943460692,,,,
2020-11-01,,,,,0.009479899135041459,-0.0015849320034998337,0.028641232615625678,0.00807871316021492,,,,
2020-11-02,,,,,-0.03653268886625193,-0.015775579633586823,-0.04122869500817525,-0.03561451915481348,,,,
2020-11-03,,,,,-0.0032994927041297695,0.0238049323736759,0.019687753644174237,-0.0027309534727391702,,,,
2020-11-04,,,,,0.004323697240461589,0.0036048961939627614,0.016547333275778505,0.0036333131187274974,,,,
2020-11-05,,,,,0.04879115808716291,0.07002854060618738,0.05262225377302248,0.05026902447233825,,,,
2020-11-06,,,,,0.05615329796816908,0.023735726674653304,0.06979352489746231,0.053601413161782206,,,,
2020-11-07,,,,,-0.043483015895242116,-0.041049971508159394,-0.05964172797716484,-0.04317015201464307,,,,
2020-11-08,,,,,0.033233010250257426,0.0312874171930238,0.04681636140577896,0.03246549825707239,,,,
2020-11-09,,,,,-0.019588407856058886,-0.010946785587688853,-0.011581423408006327,-0.019459585606513334,,,,
2020-11-10,,,,,0.0004896625641006124,0.004492394733999023,0.0015913987872465884,0.0006287171165735952,,,,
2020-11-11,,,,,0.010143437677480173,0.01857791140108966,0.01241173228905571,0.010337422267573783,,,,
2020-11-12,,,,,0.0005386886858012807,0.016935199749844934,0.007395874177268059,0.0011915832196202662,,,,
2020-11-13,,,,,0.028636976284083973,0.02030795810449007,0.011770729320398157,0.028558451001208875,,,,
2020-11-14,,,,,-0.015612969029313563,-0.0025330819916338596,-0.018015727550974147,-0.01496540615386154,,,,
2020-11-15,,,,,-0.016525656529147482,-0.001439130090463233,-0.02175626778667804,-0.015266564179560163,,,,
2020-11-16,,,,,0.046549892129067176,0.05293516646078809,0.03869597498534433,0.04680566958085387,,,,
2020-11-17,,,,,0.05204232760453974,0.05726277350611233,0.05357261024449363,0.052404249414422316,,,,
2020-11-18,,,,,-0.009936278849795133,-0.007947794544534727,-0.011481540407447921,-0.009350293769405014,,,,
2020-11-19,,,,,0.005675267946849406,0.015625644245492586,-0.004209720205439821,0.0060533478450151175,,,,
2020-11-20,,,,,0.05302752846407591,0.061513371604184144,0.08292918396414482,0.05174392254898471,,,,
2020-11-21,,,,,0.14395623030867744,0.1871106111495693,0.07488607077515066,0.146512746600367,,,,
2020-11-22,,,,,-0.02676237164833182,-0.02275061750459073,0.03975238278774762,-0.029229326061305117,,,,
2020-11-23,,,,,0.12948090591086447,0.1800851536808638,0.03779271577581554,0.13306291933141323,,,,
2020-11-24,,,,,0.1091031730000655,0.08122958299871133,0.06591074185846602,0.1123645792671593,,,,
2020-11-25,,,,,-0.05342953924272913,-0.0488421201987439,-0.0471157900264115,-0.05247142586873325,,,,
2020-11-26,,,,,-0.12392013507113164,-0.12050453064402061,-0.09879729671614718,-0.12438296672714516,,,,
2020-11-27,,,,,0.023913509429615957,0.021824891011554888,0.009623515254531709,0.025494713979112044,,,,
2020-11-28,,,,,0.05253747523602772,0.07460376288614762,0.10721112229387468,0.0508265998709321,,,,
2020-11-29,,,,,0.019677655309619617,-0.0007761206183076602,0.017778132559623114,0.018242167440231927,,,,
2020-11-30,,,,,0.07097510416991822,0.08726031978318179,0.050605697161161485,0.0716420921042557,,,,
2020-12-01,,,,,-0.06797176128702298,-0.048448741916086106,-0.05882994870331743,-0.06632924816877261,,,,
2020-12-02,,,,,0.02107460233857528,0.02139566521411307,0.018024635247607224,0.021520620549032397,,,,
2020-12-03,,,,,0.015067967051520883,0.016873680021082405,0.017041881658468018,0.015701387047189132,,,,
2020-12-04,,,,,-0.08152350861517088,-0.04671986807656046,-0.06902555965752309,-0.07895862873614386,,,,
2020-12-05,,,,,0.044238282876390825,0.026402491535971313,0.042789698651179014,0.04270167678166381,,,,
2020-12-06,,,,,0.00936906866071846,0.008790933544545708,0.010898986770082716,0.008424659328087586,,,,
2020-12-07,,,,,-0.015699276533872188,-0.008996814572514882,-0.018158511755436625,-0.014494203633763442,,,,
2020-12-08,,,,,-0.07034257497418472,-0.05183609101726316,-0.06356415656553688,-0.06887837964183255,,,,
2020-12-09,,,,,0.03684153008369282,0.018789436286686344,0.03957854276546171,0.03376413193508046,,,,
2020-12-10,,,,,-0.027883689824153537,-0.017257238889053825,-0.02828432285906554,-0.0265721997482283,,,,
2020-12-11,,,,,-0.02693740816192984,-0.011827957215606517,-0.022694749102242315,-0.025413800442909286,,,,
2020-12-12,,,,,0.02762033983663024,0.03809523094246331,0.036616084827684546,0.028802580623651174,,,,
2020-12-13,,,,,0.04034339937304878,0.0190981514015261,0.04024482282343716,0.03817221021274774,,,,
2020-12-14,,,,,-0.004087447267204858,0.002459895340361221,0.0015166290041456086,-0.003538695889253163,,,,
2020-12-15,,,,,-0.0036798828565478784,0.0077642716915474145,-0.0040821600436875315,-0.0018198077782060201,,,,
2020-12-16,,,,,0.10546735210971075,0.09019409952037663,0.10405575560764815,0.10233940663132099,,,,
2020-12-17,,,,,0.009888917234906036,0.05247233020768197,0.02745161065180003,0.01263420162700351,,,,
2020-12-18,,,,,0.015155018381917908,0.011983799713533971,0.011651423356396922,0.015708839924034435,,,,
2020-12-19,,,,,0.013790445494300932,0.02543759671799209,0.013242539385186979,0.01565116423761544,,,,
2020-12-20,,,,,-0.0055759793954341386,-0.012215312398745282,-0.02108685045043071,-0.004657238027634869,,,,
2020-12-21,,,,,-0.06155292567046387,-0.035157457735969844,-0.04263623870835842,-0.060767676081632735,,,,
2020-12-22,,,,,0.0029169318350360084,0.030660445194967075,0.022070119838041868,0.0061360746631483505,,,,
2020-12-23,,,,,-0.16479064545891137,-0.05274013273150271,-0.09493962043797655,-0.15686697632467672,,,,
2020-12-24,,,,,0.13088720446010557,0.04153234264080105,0.08838322054432442,0.12234596601114262,,,,
2020-12-25,,,,,0.02590357313179433,0.036887086459124266,0.020073289864386928,0.029467426399734566,,,,
2020-12-26,,,,,-0.0021636567802180593,0.052805779441703324,0.02894671066685692,0.0011996249857263485,,,,
2020-12-27,,,,,0.010300683386022625,0.0004432076034586746,0.0010429833710273498,0.011947874220282565,,,,
2020-12-28,,,,,0.026982186027916952,0.028929306524309143,0.046671227307996124,0.0278591840066912,,,,
2020-12-29,,,,,-0.021987362638587374,-0.00373222228055649,0.011162396431856687,-0.021980639691123016,,,,
2020-12-30,,,,,-0.00791083225521614,0.037139524496690696,0.01378556075708529,-0.004620615728090669,,,,
2020-12-31,,,,,-0.010734631048652776,0.0035628346116864397,-0.0047332300345039584,-0.010564703247274106,,,,
2021-01-01,,,,,0.011329133285298942,0.01114792180796277,0.007411944160525081,0.008542717975501211,,,,
2021-01-02,,,,,0.02072716260525204,0.07763284618021435,0.08414745983640029,0.027057213428081858,,,,
2021-01-03,,,,,0.11625440576667895,0.03477449283090808,0.03747285535993683,0.12031427980307678,,,,
2021-01-04,,,,,0.04516079223322002,-0.009957410017097401,-0.01024930475813793,0.038610899192890576,,,,
2021-01-05,0.012674408604811125,0.0011597101106474276,0.005811474762916982,0.012674408604811125,0.04535021621589661,0.04123512921441831,0.07297591889203466,0.043012976899361496,0.018120376539992038,0.0011587748830556117,0.048680782722652055,0.018120376539992038
2021-01-06,0.013264430714510802,0.006048228795653768,-0.011814849652944642,0.013264430714510802,0.17477270939392503,0.07911913995292706,0.10640241958685026,0.155552544021759,0.040182477161079845,0.006044102665731821,0.08779241524961434,0.040182477161079845
2021-01-07,0.009679796812702828,0.006337664009185117,0.02124437587660579,0.009679796812702828,0.01246324314431502,0.05642948640685164,0.049917609688366935,0.0065266847066015165,0.010143704534638191,0.0063385795391115544,0.041345426317270804,0.010143704534638191
2021-01-08,0.00286576936205043,-0.002382300750562865,-0.0003732081234031452,0.00286576936205043,-0.007003682538939726,0.025400665149271508,0.0339718602843981,-0.005657730936636623,0.0012208607118854053,-0.0023789769890941942,0.01584575162345334,0.0012208607118854053
2021-01-09,,,,,0.08814075491705675,0.011300408206974196,-0.0011509636766664337,0.09112468613783177,,,,
2021-01-10,,,,,-0.026760593955873282,-0.036934428475746926,-0.05116371664555651,-0.023776036037517066,,,,
2021-01-11,-8.806647741709266e-05,0.00034371971114734585,-0.0037094237917039584,-8.806647741709266e-05,-0.1287050223078924,-0.08471870610670464,-0.07589648310354842,-0.13208488026243442,-0.02152422578249631,0.00034649601322470384,-0.0428465200666117,-0.02152422578249631
2021-01-12,0.003012843574414887,0.0013895174126100915,-0.017085390381237714,0.003012843574414887,-0.01873015718865717,-0.04072772437385948,-0.0361409827687473,-0.022768484079523407,-0.0006109898860971216,0.001392860641048699,-0.026130986580543265,-0.0006109898860971216
2021-01-13,8.709165777319482e-05,-0.0017111682435762216,-0.0009006355513266543,8.709165777319482e-05,0.0823859488799264,0.09278882837355006,0.09908071102343474,0.08392290156413178,0.013803567861465397,-0.001708648910128785,0.06162879108219065,0.013803567861465397
2021-01-14,0.003088648294878564,0.0038722677476599513,-0.01474225764435554,0.003088648294878564,0.019721432969461637,0.040273461545249134,0.043443602204767014,0.023458083012519355,0.005860779073975744,0.003873627603791336,0.026616083113195715,0.005860779073975744
2021-01-15,-0.010835450462099163,-0.005263346037101541,-0.004875774909598098,-0.010835450462099163,-0.03879468771114989,-0.05047329534446442,-0.05613310620527369,-0.038083417821856716,-0.015495323336940946,-0.005266223374016036,-0.045194806026129915,-0.015495323336940946
2021-01-16,,,,,0.026781295053940557,-0.011156767527933388,0.0037471096367304862,0.025652069752302258,,,,
2021-01-17,,,,,0.002929735952032664,-0.009467969894374616,-0.0005459090893548469,0.0010606005304276858,,,,
2021-01-18,,,,,0.025718389419126575,0.026649136575704023,0.018222538995550052,0.02705674443817023,,,,
2021-01-19,0.00728379663203324,0.009701761177807598,0.009692517917708636,0.00728379663203324,0.009387901143479227,-0.015530752886609751,-0.013471369641756333,0.009377305119821482,0.007634480717274238,0.009700393480692831,-0.009569343314598402,0.007634480717274238
