date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-03,0.08685714285714285,-0.08948279653679651,0.055450035087719285,0.10557238095238095,0.22046571428571432,-0.001730000000000001,0.13148125,-0.027414999999999995,0.08789583333333333,0.210225
2020-01-06,0.20783194444444442,0.1162630637254902,0.08543969696969697,0.284306,0.32718,0.0735287037037037,-0.069765,0.148,-0.013116666666666676,0.011312500000000003
2020-01-07,0.29263333333333336,0.1472385,0.10692222222222221,0.140525,0.12478933333333334,0.030057142857142855,0.12726666666666667,0.2294,0.00910267857142857,0.6369
2020-01-08,0.1929775,0.0717625,-0.018874999999999986,0.4676833333333333,0.25715185185185185,0.038852380952380944,-0.09959999999999998,-0.10079999999999999,0.087443125,0.27973333333333333
2020-01-09,0.16018,0.33712484126984127,0.10351000000000002,0.28017733333333333,0.32549999999999996,0.033716666666666666,0.04242222222222222,0.0,0.126956,0.074
2020-01-10,0.03584583333333334,-0.008151999999999998,0.07396200000000001,0.21935833333333332,0.24778000000000003,0.06693333333333333,-0.10715,-0.08180000000000001,0.32739583333333333,0.15612083333333332
2020-01-13,0.0015479166666666697,0.08908528571428571,0.13454349999999998,0.20119000000000004,0.13385750000000002,0.07404583333333334,0.32985,0.2394666666666667,0.22766708333333333,0.006599999999999999
2020-01-14,0.14145,0.08825833333333333,0.2138183333333333,0.0395654761904762,0.32362499999999994,0.17661166666666664,0.1643,0.148,0.22985333333333333,0.2927166666666667
2020-01-15,0.0006972222222222194,0.12414047619047619,0.15482666666666667,0.1028935873015873,0.22993333333333332,-0.09173124999999997,0.17298333333333335,0.0252875,0.018463666666666666,0.11571250000000001
2020-01-16,0.1423625,0.22151928571428572,0.17142380952380953,0.16894032478632476,0.12518125000000002,0.2856666666666667,0.1101,0.24766666666666667,0.25404166666666667,0.15306041666666667
2020-01-17,0.0634,0.09816533333333331,0.15342944444444445,0.19559600000000002,0.20040555555555553,0.27439583333333334,0.31393333333333334,0.18714999999999998,0.1292455144855145,0.15105022222222222
2020-01-21,-0.027549999999999998,0.0803276515151515,0.18652214285714286,0.18864666666666668,0.1364540476190476,0.12303828571428573,0.012607499999999997,0.08384444444444444,0.06527733333333334,0.17614000000000002
2020-01-22,0.18275,0.14346657142857142,0.26565,0.02551666666666667,0.07989895833333333,-0.023519047619047617,-0.09866666666666667,0.055400000000000005,0.2021525,0.16193645833333334
2020-01-23,0.1975425714285714,0.12347166666666669,0.06157333333333333,0.032470000000000006,0.020309999999999998,0.05886547619047619,0.09407,0.314,0.04576555555555555,0.014825
2020-01-24,0.1308696212121212,0.08374730769230769,0.18136166666666667,-0.09515,0.2246453333333333,0.11282888888888888,0.14948,0.0903,0.08030172043010753,0.19573976470588236
2020-01-27,-0.032705,0.029636666666666672,0.04191166666666666,0.14677777777777778,0.2894277777777778,0.06094333333333333,-0.0018416666666666685,0.08510000000000001,-0.142949,0.018625793650793657
2020-01-28,0.04588500000000001,0.06165017857142858,0.24658333333333335,0.1616607142857143,0.18641166666666664,-0.004798958333333332,0.18511,0.12631666666666666,0.03431730769230769,0.019550000000000005
2020-01-29,0.38888625,0.0181757619047619,0.013120833333333335,0.19043125000000002,0.163134,-0.0025183333333333316,0.13135,0.16463333333333333,0.15111289682539683,0.16526875000000002
